# Jamie Map File
#
#directionalLight objects...
#ObjectType			#AmbR	#AmbG	#AmbB	#DiffR	#DiffG	#DiffB	#SpecR	#SpecG	#SpecB	#DirX	#DirY	#DirZ
directionalLight	0.2		0.2		0.2		0.4		0.4		0.4		0.3		0.3		0.3		-2.0	-3.0	-1.0

#pointLight objects...
#ObjectType			#AmbR	#AmbG	#AmbB	#DiffR	#DiffG	#DiffB	#SpecR	#SpecG	#SpecB	#PosX	#PosY	#PosZ
pointLight			0.2		0.2		0.2		1.0		1.0		1.0		0.4		0.4		0.4		0.0		3.0		0.0
pointLight			0.2		0.2		0.2		1.0		1.0		1.0		0.4		0.4		0.4		-20.0	2.0		0.0
pointLight			0.2		0.2		0.2		1.0		1.0		1.0		0.4		0.4		0.4		22.0	2.0		22.0
pointLight			0.2		0.2		0.2		1.0		1.0		1.0		0.4		0.4		0.4		-20.0	2.0		20.0

#spotLight objects...
#ObjectType			#AmbR	#AmbG	#AmbB	#DiffR	#DiffG	#DiffB	#SpecR	#SpecG	#SpecB	#PosX	#PosY	#PosZ
spotLight			0.0		0.0		0.0		0.8		0.8		0.8		1.0		1.0		1.0		0.0		0.0		0.0

#Materials
#Type	 #materialID		#DiffuseMapID			#SpecularMapID			#NormalMapID			#NormalMapNormalize		#HeightMapID			#HeightMapHeight	#EmissionMap
material grass				grass_diff				grass_spec				null					0.0						null					0.0					null
material shed				shed_diff				shed_spec				shed_norm				0.0						null					0.0					null
material cottage			cottage_diff			cottage_spec			cottage_norm			0.0						null					0.0					null
material carpet				carpet_diff				carpet_spec				carpet_norm				0.0						carpet_height			0.05				null		
material crate				crate_diff				crate_spec				crate_norm				0.0						null					0.0					null		
material housewall			woodWall_diff			woodWall_spec			woodWall_norm			0.0						woodWall_height			0.04				null		
material concrete			concreteSlab_diff		concreteSlab_spec		concreteSlab_norm		0.0						concreteSlab_height		0.01				null		
material whitebrick			concreteBrick_diff		concreteBrick_spec		concreteBrick_norm		0.0						concreteBrick_height	0.01				null		
material metal2				metal2_diff				metal2_spec				metal2_norm				0.0						null					0.0					null		
material dresser			dresser_diff			dresser_spec			dresser_norm			0.0						null					0.0					null		
material stairs				stairs_diff				stairs_spec				stairs_norm				0.0						null					0.0					null		
material watchtower			watchTower_diff			watchTower_spec			watchTower_norm			0.0						null					0.0					null		
material bed				bed_diff				bed_spec				bed_norm				0.0						null					0.0					null		
material table				table_diff				table_spec				null					0.0						null					0.0					null		
material knife				knife_diff				knife_spec				knife_norm				0.0						null					0.0					null		
material leatherNorm		leather_diff			leather_spec			leather_norm			0.0						null					0.0					null					
material leatherNoNorm		leather_diff			leather_spec			null					0.0						null					0.0					null					
material concreteNorm		concreteExample_diff	concreteExample_spec	concreteExample_norm	0.0						null					0.0					null					
material concreteNoNorm		concreteExample_diff	concreteExample_spec	null					0.0						null					0.0					null					
material brickNorm			cartoonBricks_diff		cartoonBricks_spec		cartoonBricks_norm		0.0						null					0.0					null					
material brickNoNorm		cartoonBricks_diff		cartoonBricks_spec		null					0.0						null					0.0					null						
material metalExample		metal_diff				metal_spec				metal_norm				0.0						null					0.0					null		
material tileExample		tile_diff				tile_spec				tile_norm				0.0						null					0.0					null			
material sandExample		sand_diff				sand_spec				sand_norm				0.0						null					0.0					null			
material lavaExample		lava_diff				lava_spec				lava_norm				0.0						null					0.0					lava_emis		
material hieroglyphsExample	hieroglyphs_diff		hieroglyphs_spec		hieroglyphs_norm		0.0						null					0.0					null		
material metalExample		metalHammer_diff		metalHammer_spec		metalHammer_norm		0.0						null					0.0					null		
material skullExample		skullGround_diff		skullGround_spec		skullGround_norm		1.0						null					0.0					null		
material rockExample		rock_diff				rock_spec				rock_norm				1.0						null					0.0					null			
material concrete2Example	concrete2_diff			concrete2_spec			concrete2_norm			1.0						null					0.0					null		
material sign1				sign_diff				sign_spec				sign_norm				0.0						null					0.0					signs/sign1_emis
material sign2				sign_diff				sign_spec				sign_norm				0.0						null					0.0					signs/sign2_emis
material sign3				sign_diff				sign_spec				sign_norm				0.0						null					0.0					signs/sign3_emis
material sign4				sign_diff				sign_spec				sign_norm				0.0						null					0.0					signs/sign4_emis
material sign5				sign_diff				sign_spec				sign_norm				0.0						null					0.0					signs/sign5_emis
material sign6				sign_diff				sign_spec				sign_norm				0.0						null					0.0					signs/sign6_emis
material sign7				sign_diff				sign_spec				sign_norm				0.0						null					0.0					signs/sign7_emis
material sign8				sign_diff				sign_spec				sign_norm				0.0						null					0.0					signs/sign8_emis
material sign9				sign_diff				sign_spec				sign_norm				0.0						null					0.0					signs/sign9_emis
material sign10				sign_diff				sign_spec				sign_norm				0.0						null					0.0					signs/sign10_emis
material sign11				sign_diff				sign_spec				sign_norm				0.0						null					0.0					signs/sign11_emis
material sign12				sign_diff				sign_spec				sign_norm				0.0						null					0.0					signs/sign12_emis


#ObjectType		#SkyboxTexture
SceneSky		default

# modelLighting objects...
#ObjectType		#PosX	#PosY	#PosZ	#RotX	#RotY	#RotZ	#ScaleX		#ScaleY		#ScaleZ		#Material	#Mesh		
#Grass
LightingEntity	0.0		-1.5	0.0		0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	6.0		-1.5	0.0		0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	-6.0	-1.5	0.0		0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	0.0		-1.5	6.0		0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	6.0		-1.5	6.0		0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	-6.0	-1.5	6.0		0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	0.0		-1.5	-6.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	6.0		-1.5	-6.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	-6.0	-1.5	-6.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		

LightingEntity	-18.0	-1.5	0.0		0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	-12.0	-1.5	0.0		0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	-24.0	-1.5	0.0		0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	-18.0	-1.5	6.0		0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	-12.0	-1.5	6.0		0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	-24.0	-1.5	6.0		0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	-18.0	-1.5	-6.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	-12.0	-1.5	-6.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	-24.0	-1.5	-6.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		

LightingEntity	18.0	-1.5	0.0		0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	12.0	-1.5	0.0		0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	24.0	-1.5	0.0		0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	18.0	-1.5	6.0		0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	12.0	-1.5	6.0		0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	24.0	-1.5	6.0		0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	18.0	-1.5	-6.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	12.0	-1.5	-6.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	24.0	-1.5	-6.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		

LightingEntity	0.0		-1.5	18.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	6.0		-1.5	18.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	-6.0	-1.5	18.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	0.0		-1.5	24.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	6.0		-1.5	24.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	-6.0	-1.5	24.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	0.0		-1.5	12.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	6.0		-1.5	12.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	-6.0	-1.5	12.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		

LightingEntity	-18.0	-1.5	18.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	-12.0	-1.5	18.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	-24.0	-1.5	18.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	-18.0	-1.5	24.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	-12.0	-1.5	24.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	-24.0	-1.5	24.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	-18.0	-1.5	12.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	-12.0	-1.5	12.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	-24.0	-1.5	12.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		

LightingEntity	18.0	-1.5	18.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	12.0	-1.5	18.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	24.0	-1.5	18.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
LightingEntity	18.0	-1.5	24.0	0.0		0.0		0.0		1.0			1.0			1.0			grass		plane		
